Province_State,Country_Region,Lat,Long,Date,Year,Month,Confirmed,Deaths,Recovered
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-29 00:00:00,2020,April,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-04-30 00:00:00,2020,April,0.0,0.0,2.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-01 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-02 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-03 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-04 00:00:00,2020,May,1.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-05 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-06 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-07 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-08 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-09 00:00:00,2020,May,0.0,0.0,1.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-10 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-11 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-12 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-13 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-14 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-15 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-16 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-17 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-18 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-19 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-20 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-21 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-22 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-23 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-24 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-25 00:00:00,2020,May,0.0,0.0,0.0
Australian Capital Territory,Australia,-35.4735,149.0124,2020-05-26 00:00:00,2020,May,0.0,0.0,0.0
