Province_State,Country_Region,Lat,Long,Date,Confirmed
Australian Capital Territory,Australia,-35.4735,149.0124,8/22/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/23/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/24/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/25/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/26/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/27/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/28/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/29/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/30/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,8/31/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/1/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/2/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/3/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/4/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/5/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/6/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/7/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/8/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/9/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/10/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/11/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/12/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/13/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/14/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/15/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/16/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/17/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/18/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/19/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/20/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/21/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/22/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/23/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/24/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/25/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/26/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/27/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/28/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/29/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,9/30/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/1/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/2/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/3/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/4/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/5/2020,113
Australian Capital Territory,Australia,-35.4735,149.0124,10/6/2020,113
