COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,VACCINES_USED
China,CHN,WPRO,REPORTING,9/10/2021 0:00,2143864359,1099627432,145.714,74.739,973716927,66.181,7/22/2020 0:00,6,Beijing CNBG - BBIBP-CorV
China,CHN,WPRO,REPORTING,9/10/2021 0:00,2143864359,1099627432,145.714,74.739,973716927,66.181,7/22/2020 0:00,6,CanSino - Ad5-nCOV
China,CHN,WPRO,REPORTING,9/10/2021 0:00,2143864359,1099627432,145.714,74.739,973716927,66.181,7/22/2020 0:00,6,Pfizer BioNTech - Comirnaty
China,CHN,WPRO,REPORTING,9/10/2021 0:00,2143864359,1099627432,145.714,74.739,973716927,66.181,7/22/2020 0:00,6,Sinovac - CoronaVac
China,CHN,WPRO,REPORTING,9/10/2021 0:00,2143864359,1099627432,145.714,74.739,973716927,66.181,7/22/2020 0:00,6,Wuhan CNBG - Inactivated
Colombia,COL,AMRO,REPORTING,9/17/2021 0:00,38002826,24841106,74.687,48.82,15968154,31.382,2/17/2021 0:00,5,AstraZeneca - Vaxzevria
Colombia,COL,AMRO,REPORTING,9/17/2021 0:00,38002826,24841106,74.687,48.82,15968154,31.382,2/17/2021 0:00,5,Janssen - Ad26.COV 2.5
Colombia,COL,AMRO,REPORTING,9/17/2021 0:00,38002826,24841106,74.687,48.82,15968154,31.382,2/17/2021 0:00,5,Moderna - mRNA-1273
Colombia,COL,AMRO,REPORTING,9/17/2021 0:00,38002826,24841106,74.687,48.82,15968154,31.382,2/17/2021 0:00,5,Pfizer BioNTech - Comirnaty
Colombia,COL,AMRO,REPORTING,9/17/2021 0:00,38002826,24841106,74.687,48.82,15968154,31.382,2/17/2021 0:00,5,Sinovac - CoronaVac
Comoros,COM,AFRO,REPORTING,9/22/2021 0:00,336863,174765,38.738,20.097,162098,18.641,4/10/2021 0:00,3,Beijing CNBG - BBIBP-CorV
Comoros,COM,AFRO,REPORTING,9/22/2021 0:00,336863,174765,38.738,20.097,162098,18.641,4/10/2021 0:00,3,Bharat - Covaxin
Comoros,COM,AFRO,REPORTING,9/22/2021 0:00,336863,174765,38.738,20.097,162098,18.641,4/10/2021 0:00,3,SII - Covishield
Congo,COG,AFRO,REPORTING,9/23/2021 0:00,216014,108840,3.915,1.972,107175,1.942,3/23/2021 0:00,4,Beijing CNBG - BBIBP-CorV
Congo,COG,AFRO,REPORTING,9/23/2021 0:00,216014,108840,3.915,1.972,107175,1.942,3/23/2021 0:00,4,Gamaleya - Sputnik V
Congo,COG,AFRO,REPORTING,9/23/2021 0:00,216014,108840,3.915,1.972,107175,1.942,3/23/2021 0:00,4,Moderna - mRNA-1273
Congo,COG,AFRO,REPORTING,9/23/2021 0:00,216014,108840,3.915,1.972,107175,1.942,3/23/2021 0:00,4,SII - Covishield
Cook Islands,COK,WPRO,REPORTING,8/3/2021 0:00,21761,11416,123.895,64.997,10345,58.899,5/17/2021 0:00,1,Pfizer BioNTech - Comirnaty
Costa Rica,CRI,AMRO,REPORTING,9/17/2021 0:00,4872085,3144786,95.641,61.734,1727299,33.908,12/24/2020 0:00,2,AstraZeneca - Vaxzevria
Costa Rica,CRI,AMRO,REPORTING,9/17/2021 0:00,4872085,3144786,95.641,61.734,1727299,33.908,12/24/2020 0:00,2,Pfizer BioNTech - Comirnaty
Côte d’Ivoire,CIV,AFRO,REPORTING,9/19/2021 0:00,1758966,1412268,6.668,5.354,346698,1.314,3/1/2021 0:00,3,Beijing CNBG - BBIBP-CorV
Côte d’Ivoire,CIV,AFRO,REPORTING,9/19/2021 0:00,1758966,1412268,6.668,5.354,346698,1.314,3/1/2021 0:00,3,Gamaleya - Sputnik V
Côte d’Ivoire,CIV,AFRO,REPORTING,9/19/2021 0:00,1758966,1412268,6.668,5.354,346698,1.314,3/1/2021 0:00,3,SII - Covishield
Croatia,HRV,EURO,OWID,9/21/2021 0:00,3380570,1789718,83.303,44.102,1677846,41.345,,3,Moderna - mRNA-1273
Croatia,HRV,EURO,OWID,9/21/2021 0:00,3380570,1789718,83.303,44.102,1677846,41.345,,3,AstraZeneca - AZD1222
Croatia,HRV,EURO,OWID,9/21/2021 0:00,3380570,1789718,83.303,44.102,1677846,41.345,,3,Pfizer BioNTech - Comirnaty
Cuba,CUB,AMRO,REPORTING,9/17/2021 0:00,17208732,7461666,151.932,65.877,5302545,46.815,,2,Abdala
Cuba,CUB,AMRO,REPORTING,9/17/2021 0:00,17208732,7461666,151.932,65.877,5302545,46.815,,2,Soberana02
Curaçao,CUW,AMRO,REPORTING,9/17/2021 0:00,185136,97149,112.824,59.204,87987,53.62,2/24/2021 0:00,3,AstraZeneca - Vaxzevria
Curaçao,CUW,AMRO,REPORTING,9/17/2021 0:00,185136,97149,112.824,59.204,87987,53.62,2/24/2021 0:00,3,Moderna - mRNA-1273
Curaçao,CUW,AMRO,REPORTING,9/17/2021 0:00,185136,97149,112.824,59.204,87987,53.62,2/24/2021 0:00,3,Pfizer BioNTech - Comirnaty
Cyprus,CYP,EURO,OWID,9/21/2021 0:00,1141805,592186,128.581,66.687,545946,61.48,,4,Janssen - Ad26.COV 2.5
Cyprus,CYP,EURO,OWID,9/21/2021 0:00,1141805,592186,128.581,66.687,545946,61.48,,4,Moderna - mRNA-1273
Cyprus,CYP,EURO,OWID,9/21/2021 0:00,1141805,592186,128.581,66.687,545946,61.48,,4,AstraZeneca - AZD1222
Cyprus,CYP,EURO,OWID,9/21/2021 0:00,1141805,592186,128.581,66.687,545946,61.48,,4,Pfizer BioNTech - Comirnaty
Czechia,CZE,EURO,OWID,9/21/2021 0:00,11737482,6051944,109.758,56.592,5912263,55.286,,4,Janssen - Ad26.COV 2.5
Czechia,CZE,EURO,OWID,9/21/2021 0:00,11737482,6051944,109.758,56.592,5912263,55.286,,4,Moderna - mRNA-1273
Czechia,CZE,EURO,OWID,9/21/2021 0:00,11737482,6051944,109.758,56.592,5912263,55.286,,4,AstraZeneca - AZD1222
Czechia,CZE,EURO,OWID,9/21/2021 0:00,11737482,6051944,109.758,56.592,5912263,55.286,,4,Pfizer BioNTech - Comirnaty
Democratic Republic of the Congo,COD,AFRO,REPORTING,9/22/2021 0:00,134860,97328,0.151,0.109,37532,0.042,4/19/2021 0:00,1,SII - Covishield
Denmark,DNK,EURO,OWID,9/21/2021 0:00,8744427,4446419,150.177,76.363,4344363,74.61,,3,Janssen - Ad26.COV 2.5
Denmark,DNK,EURO,OWID,9/21/2021 0:00,8744427,4446419,150.177,76.363,4344363,74.61,,3,Moderna - mRNA-1273
Denmark,DNK,EURO,OWID,9/21/2021 0:00,8744427,4446419,150.177,76.363,4344363,74.61,,3,Pfizer BioNTech - Comirnaty
Djibouti,DJI,EMRO,REPORTING,9/18/2021 0:00,66010,40689,6.681,4.118,26087,2.64,3/15/2021 0:00,6,Beijing CNBG - BBIBP-CorV
Djibouti,DJI,EMRO,REPORTING,9/18/2021 0:00,66010,40689,6.681,4.118,26087,2.64,3/15/2021 0:00,6,Gamaleya - Sputnik V
Djibouti,DJI,EMRO,REPORTING,9/18/2021 0:00,66010,40689,6.681,4.118,26087,2.64,3/15/2021 0:00,6,Janssen - Ad26.COV 2.5
Djibouti,DJI,EMRO,REPORTING,9/18/2021 0:00,66010,40689,6.681,4.118,26087,2.64,3/15/2021 0:00,6,Pfizer BioNTech - Comirnaty
Djibouti,DJI,EMRO,REPORTING,9/18/2021 0:00,66010,40689,6.681,4.118,26087,2.64,3/15/2021 0:00,6,SII - Covishield
Djibouti,DJI,EMRO,REPORTING,9/18/2021 0:00,66010,40689,6.681,4.118,26087,2.64,3/15/2021 0:00,6,Sinovac - CoronaVac
Dominica,DMA,AMRO,REPORTING,9/17/2021 0:00,43971,23300,61.078,32.365,20671,28.713,2/12/2021 0:00,4,AstraZeneca - Vaxzevria
Dominica,DMA,AMRO,REPORTING,9/17/2021 0:00,43971,23300,61.078,32.365,20671,28.713,2/12/2021 0:00,4,Beijing CNBG - BBIBP-CorV
Dominica,DMA,AMRO,REPORTING,9/17/2021 0:00,43971,23300,61.078,32.365,20671,28.713,2/12/2021 0:00,4,Pfizer BioNTech - Comirnaty
Dominica,DMA,AMRO,REPORTING,9/17/2021 0:00,43971,23300,61.078,32.365,20671,28.713,2/12/2021 0:00,4,SII - Covishield
Dominican Republic,DOM,AMRO,REPORTING,9/17/2021 0:00,11585713,5957432,106.801,54.918,4802290,44.269,2/16/2021 0:00,3,AstraZeneca - Vaxzevria
Dominican Republic,DOM,AMRO,REPORTING,9/17/2021 0:00,11585713,5957432,106.801,54.918,4802290,44.269,2/16/2021 0:00,3,SII - Covishield
Dominican Republic,DOM,AMRO,REPORTING,9/17/2021 0:00,11585713,5957432,106.801,54.918,4802290,44.269,2/16/2021 0:00,3,Sinovac - CoronaVac
Ecuador,ECU,AMRO,REPORTING,9/17/2021 0:00,20320001,10998667,115.173,62.34,9620899,54.531,1/21/2021 0:00,4,AstraZeneca - Vaxzevria
Ecuador,ECU,AMRO,REPORTING,9/17/2021 0:00,20320001,10998667,115.173,62.34,9620899,54.531,1/21/2021 0:00,4,CanSino - Ad5-nCOV
