Country_Region,Lat,Long,Population,Date,Vaccinations
Afghanistan,33.9391,67.71,38928341,8/7/2021,1442250
Afghanistan,33.9391,67.71,38928341,8/8/2021,1442250
Afghanistan,33.9391,67.71,38928341,8/9/2021,1767239
Afghanistan,33.9391,67.71,38928341,8/10/2021,1767239
Afghanistan,33.9391,67.71,38928341,8/11/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/12/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/13/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/14/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/15/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/16/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/17/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/18/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/19/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/20/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/21/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/22/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/23/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/24/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/25/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/26/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/27/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/28/2021,1809517
Afghanistan,33.9391,67.71,38928341,8/29/2021,1201286
Afghanistan,33.9391,67.71,38928341,8/30/2021,1201286
Afghanistan,33.9391,67.71,38928341,8/31/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/1/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/2/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/3/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/4/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/5/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/6/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/7/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/8/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/9/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/10/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/11/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/12/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/13/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/14/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/15/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/16/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/17/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/18/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/19/2021,1979652
Afghanistan,33.9391,67.71,38928341,9/20/2021,3133227
Afghanistan,33.9391,67.71,38928341,9/21/2021,3133227
Afghanistan,33.9391,67.71,38928341,9/22/2021,3133227
Albania,41.1533,20.1683,2877800,1/10/2021,0
Albania,41.1533,20.1683,2877800,1/11/2021,0
Albania,41.1533,20.1683,2877800,1/12/2021,128
Albania,41.1533,20.1683,2877800,1/13/2021,188
Albania,41.1533,20.1683,2877800,1/14/2021,266
Albania,41.1533,20.1683,2877800,1/15/2021,308
Albania,41.1533,20.1683,2877800,1/16/2021,369
Albania,41.1533,20.1683,2877800,1/17/2021,405
Albania,41.1533,20.1683,2877800,1/18/2021,447
Albania,41.1533,20.1683,2877800,1/19/2021,483
Albania,41.1533,20.1683,2877800,1/20/2021,519
Albania,41.1533,20.1683,2877800,1/21/2021,549
Albania,41.1533,20.1683,2877800,1/22/2021,549
Albania,41.1533,20.1683,2877800,1/23/2021,549
Albania,41.1533,20.1683,2877800,1/24/2021,549
Albania,41.1533,20.1683,2877800,1/25/2021,549
Albania,41.1533,20.1683,2877800,1/26/2021,549
Albania,41.1533,20.1683,2877800,1/27/2021,549
Albania,41.1533,20.1683,2877800,1/28/2021,549
Albania,41.1533,20.1683,2877800,1/29/2021,549
Albania,41.1533,20.1683,2877800,1/30/2021,549
Albania,41.1533,20.1683,2877800,1/31/2021,549
Albania,41.1533,20.1683,2877800,2/1/2021,549
Albania,41.1533,20.1683,2877800,2/2/2021,550
Albania,41.1533,20.1683,2877800,2/3/2021,550
Albania,41.1533,20.1683,2877800,2/4/2021,550
Albania,41.1533,20.1683,2877800,2/5/2021,550
Albania,41.1533,20.1683,2877800,2/6/2021,550
Albania,41.1533,20.1683,2877800,2/7/2021,550
Albania,41.1533,20.1683,2877800,2/8/2021,550
Albania,41.1533,20.1683,2877800,2/9/2021,1127
Albania,41.1533,20.1683,2877800,2/10/2021,1127
Albania,41.1533,20.1683,2877800,2/11/2021,1127
Albania,41.1533,20.1683,2877800,2/12/2021,1127
Albania,41.1533,20.1683,2877800,2/13/2021,1127
Albania,41.1533,20.1683,2877800,2/14/2021,1127
Albania,41.1533,20.1683,2877800,2/15/2021,1127
Albania,41.1533,20.1683,2877800,2/16/2021,1127
Albania,41.1533,20.1683,2877800,2/17/2021,1701
Albania,41.1533,20.1683,2877800,2/18/2021,3049
Albania,41.1533,20.1683,2877800,2/19/2021,4177
Albania,41.1533,20.1683,2877800,2/20/2021,4177
Albania,41.1533,20.1683,2877800,2/21/2021,4177
Albania,41.1533,20.1683,2877800,2/22/2021,6728
Albania,41.1533,20.1683,2877800,2/23/2021,6728
Albania,41.1533,20.1683,2877800,2/24/2021,6728
Albania,41.1533,20.1683,2877800,2/25/2021,10135
Albania,41.1533,20.1683,2877800,2/26/2021,10135
Albania,41.1533,20.1683,2877800,2/27/2021,10135
Albania,41.1533,20.1683,2877800,2/28/2021,10135
Albania,41.1533,20.1683,2877800,3/1/2021,14295
