Country_Region,Lat,Long,Date,Recovered
Afghanistan,33.93911,67.709953,7/4/2020,19164
Afghanistan,33.93911,67.709953,7/5/2020,19366
Afghanistan,33.93911,67.709953,7/6/2020,20103
Afghanistan,33.93911,67.709953,7/7/2020,20179
Afghanistan,33.93911,67.709953,7/8/2020,20700
Afghanistan,33.93911,67.709953,7/9/2020,20847
Afghanistan,33.93911,67.709953,7/10/2020,20882
Afghanistan,33.93911,67.709953,7/11/2020,21135
Afghanistan,33.93911,67.709953,7/12/2020,21216
Afghanistan,33.93911,67.709953,7/13/2020,21254
Afghanistan,33.93911,67.709953,7/14/2020,21454
Afghanistan,33.93911,67.709953,7/15/2020,22456
Afghanistan,33.93911,67.709953,7/16/2020,22824
Afghanistan,33.93911,67.709953,7/17/2020,23151
Afghanistan,33.93911,67.709953,7/18/2020,23273
Afghanistan,33.93911,67.709953,7/19/2020,23634
Afghanistan,33.93911,67.709953,7/20/2020,23741
Afghanistan,33.93911,67.709953,7/21/2020,23741
Afghanistan,33.93911,67.709953,7/22/2020,23924
Afghanistan,33.93911,67.709953,7/23/2020,24550
Afghanistan,33.93911,67.709953,7/24/2020,24602
Afghanistan,33.93911,67.709953,7/25/2020,24793
Afghanistan,33.93911,67.709953,7/26/2020,25180
Afghanistan,33.93911,67.709953,7/27/2020,25198
Afghanistan,33.93911,67.709953,7/28/2020,25358
Afghanistan,33.93911,67.709953,7/29/2020,25389
Afghanistan,33.93911,67.709953,7/30/2020,25471
Afghanistan,33.93911,67.709953,7/31/2020,25509
Afghanistan,33.93911,67.709953,8/1/2020,25509
Afghanistan,33.93911,67.709953,8/2/2020,25510
Afghanistan,33.93911,67.709953,8/3/2020,25669
Afghanistan,33.93911,67.709953,8/4/2020,25669
Afghanistan,33.93911,67.709953,8/5/2020,25742
Afghanistan,33.93911,67.709953,8/6/2020,25840
Afghanistan,33.93911,67.709953,8/7/2020,25903
Afghanistan,33.93911,67.709953,8/8/2020,25960
Afghanistan,33.93911,67.709953,8/9/2020,25960
Afghanistan,33.93911,67.709953,8/10/2020,26228
Afghanistan,33.93911,67.709953,8/11/2020,26415
Afghanistan,33.93911,67.709953,8/12/2020,26694
Afghanistan,33.93911,67.709953,8/13/2020,26714
Afghanistan,33.93911,67.709953,8/14/2020,26714
Afghanistan,33.93911,67.709953,8/15/2020,27166
Afghanistan,33.93911,67.709953,8/16/2020,27166
Afghanistan,33.93911,67.709953,8/17/2020,27166
Afghanistan,33.93911,67.709953,8/18/2020,27166
Afghanistan,33.93911,67.709953,8/19/2020,27166
Afghanistan,33.93911,67.709953,8/20/2020,27681
Afghanistan,33.93911,67.709953,8/21/2020,28016
Afghanistan,33.93911,67.709953,8/22/2020,28016
Afghanistan,33.93911,67.709953,8/23/2020,28180
Afghanistan,33.93911,67.709953,8/24/2020,28360
Afghanistan,33.93911,67.709953,8/25/2020,28440
Afghanistan,33.93911,67.709953,8/26/2020,29042
Afghanistan,33.93911,67.709953,8/27/2020,29046
Afghanistan,33.93911,67.709953,8/28/2020,29059
Afghanistan,33.93911,67.709953,8/29/2020,29063
Afghanistan,33.93911,67.709953,8/30/2020,29089
Afghanistan,33.93911,67.709953,8/31/2020,29089
Afghanistan,33.93911,67.709953,9/1/2020,29231
Afghanistan,33.93911,67.709953,9/2/2020,29315
Afghanistan,33.93911,67.709953,9/3/2020,29390
Afghanistan,33.93911,67.709953,9/4/2020,29713
Afghanistan,33.93911,67.709953,9/5/2020,30082
Afghanistan,33.93911,67.709953,9/6/2020,30537
Afghanistan,33.93911,67.709953,9/7/2020,30557
Afghanistan,33.93911,67.709953,9/8/2020,30715
Afghanistan,33.93911,67.709953,9/9/2020,31048
Afghanistan,33.93911,67.709953,9/10/2020,31129
Afghanistan,33.93911,67.709953,9/11/2020,31154
Afghanistan,33.93911,67.709953,9/12/2020,31234
Afghanistan,33.93911,67.709953,9/13/2020,31638
Afghanistan,33.93911,67.709953,9/14/2020,32073
Afghanistan,33.93911,67.709953,9/15/2020,32098
Afghanistan,33.93911,67.709953,9/16/2020,32503
Afghanistan,33.93911,67.709953,9/17/2020,32505
Afghanistan,33.93911,67.709953,9/18/2020,32576
Afghanistan,33.93911,67.709953,9/19/2020,32576
Afghanistan,33.93911,67.709953,9/20/2020,32576
Afghanistan,33.93911,67.709953,9/21/2020,32576
Afghanistan,33.93911,67.709953,9/22/2020,32576
Afghanistan,33.93911,67.709953,9/23/2020,32610
Afghanistan,33.93911,67.709953,9/24/2020,32619
Afghanistan,33.93911,67.709953,9/25/2020,32619
Afghanistan,33.93911,67.709953,9/26/2020,32635
Afghanistan,33.93911,67.709953,9/27/2020,32642
Afghanistan,33.93911,67.709953,9/28/2020,32642
Afghanistan,33.93911,67.709953,9/29/2020,32746
Afghanistan,33.93911,67.709953,9/30/2020,32789
Afghanistan,33.93911,67.709953,10/1/2020,32842
Afghanistan,33.93911,67.709953,10/2/2020,32842
Afghanistan,33.93911,67.709953,10/3/2020,32842
Afghanistan,33.93911,67.709953,10/4/2020,32852
Afghanistan,33.93911,67.709953,10/5/2020,32879
Afghanistan,33.93911,67.709953,10/6/2020,32977
Afghanistan,33.93911,67.709953,10/7/2020,33045
Afghanistan,33.93911,67.709953,10/8/2020,33058
Afghanistan,33.93911,67.709953,10/9/2020,33058
