Country_Region,Lat,Long,Date,Year,Month,Vaccinations
Afghanistan,33.9391,67.71,2021-08-13 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-14 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-15 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-16 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-17 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-18 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-19 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-20 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-21 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-22 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-23 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-24 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-25 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-26 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-27 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-28 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-29 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-30 00:00:00,2021,August,0.0
Afghanistan,33.9391,67.71,2021-08-31 00:00:00,2021,August,778366.0
Afghanistan,33.9391,67.71,2021-09-01 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-02 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-03 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-04 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-05 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-06 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-07 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-08 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-09 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-10 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-11 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-12 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-13 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-14 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-15 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-16 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-17 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-18 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-19 00:00:00,2021,September,0.0
Afghanistan,33.9391,67.71,2021-09-20 00:00:00,2021,September,1153575.0
Afghanistan,33.9391,67.71,2021-09-21 00:00:00,2021,September,0.0
