row_names,id,security_name,ticker,sp500_weight,sec_type,major_asset_class,minor_asset_class
4,4,Tesla Inc,TSLA,2.15672,common_share,equity,large_cap
454,457,Taiwan Semiconductor MFG,TSM,,common_share,equty,emerging_markets
310,310,Tyson Foods Inc. Class A,TSN,0.06416,common_share,equity,large_cap
192,192,Trane Technologies plc,TT,0.11262,common_share,equity,large_cap
333,333,Take-Two Interactive Software Inc.,TTWO,0.05626,common_share,equity,large_cap
229,229,Twitter Inc.,TWTR,0.09454,common_share,equity,large_cap
41,41,Texas Instruments Incorporated,TXN,0.45943,common_share,equity,large_cap
382,382,ProShares Ultra Bloomberg Crude Oil,UCO,,etf,commodities,precious_metals
291,291,Ulta Beauty Inc.,ULTA,0.06889,common_share,equity,large_cap
387,387,United States Natural Gas Fund LP,UNG,,etf,commodities,oil
8,8,UnitedHealth Group Incorporated,UNH,1.46708,common_share,equity,large_cap
45,45,Union Pacific Corporation,UNP,0.42844,common_share,equity,large_cap
440,442,UPAR Ultra Risk Parity ETF,UPAR,,etf,alternatives,
47,47,United Parcel Service Inc. Class B,UPS,0.42662,common_share,equity,large_cap
307,307,United Rentals Inc.,URI,0.06491,common_share,equity,large_cap
115,115,U.S. Bancorp,USB,0.18768,common_share,equity,large_cap
365,365,iShares Broad USD Invm Grd Corp Bd ETF,USIG,,etf,fixed income corporate,
375,375,United States Oil Fund LP,USO,,etf,commodities,oil
432,433,2x Long VIX Futures ETF,UVIX,,etf,alternatives,
15,15,Visa Inc. Class A,V,0.97829,common_share,equity,large_cap
439,441,Cambria Value & Momentum ETF,VAMO,,etf,alternatives,
402,402,Vanguard Intermediate-Term Corporate Bond ETF,VCIT,,etf,fixed_income,
401,401,Vanguard Short-Term Corporate Bond ETF,VCSH,,etf,fixed_income,
418,419,Vanguard Short-Term Treasury ETF,VGSH,,etf,fixed_income,
228,228,VICI Properties Inc,VICI,0.09532,common_share,equity,large_cap
161,161,Valero Energy Corporation,VLO,0.13467,common_share,equity,large_cap
421,422,Vanguard Mortgage-Backed Securities ETF,VMBS,,etf,fixed_income,
298,298,Vulcan Materials Company,VMC,0.0667,common_share,equity,large_cap
240,240,Verisk Analytics Inc,VRSK,0.09074,common_share,equity,large_cap
342,342,VeriSign Inc.,VRSN,0.05366,common_share,equity,large_cap
103,103,Vertex Pharmaceuticals Incorporated,VRTX,0.2189,common_share,equity,large_cap
